County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ballard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bourbon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boyd,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Boyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bracken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breckinridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullitt,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calloway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Carlisle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daviess,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Edmonson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,1,1,1,1,2,2,2,2,2,3,3,6,7,7,7
Fleming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Graves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hickman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,0,0,0,0,1,1,1,1,1,1,2,2,2,4,4
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,1,1,2,2,2,3,3,3,3,7,7,11,11,17,17
Jessamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenton,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
Knott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Letcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCracken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCreary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Magoffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menifee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metcalfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muhlenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oldham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Spencer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trimble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Out of KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,2,2,3,14,3,6,0,0
