County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Aleutians East,0,0,0,0,0,0,0,0,0,0,0,0
Aleutians West,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,13,17,17,28,30,43,54,59,61,65,67,73
Bethel,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Bay,0,0,0,0,0,0,0,0,0,0,0,0
Denali,0,0,0,0,0,0,0,0,0,0,0,0
Dillingham,0,0,0,0,0,0,0,0,0,0,0,0
Fairbanks North Star,7,7,10,11,10,19,23,28,30,35,40,42
Haines,0,0,0,0,0,0,0,0,0,0,0,0
Hoonah-Angoon,0,0,0,0,0,0,0,0,0,0,0,0
Juneau,1,1,2,2,3,4,4,5,5,9,10,11
Kenai Peninsula,3,3,4,4,4,5,7,7,7,7,8,10
Ketchikan Gateway,6,6,8,11,11,12,12,13,13,13,14,14
Kodiak Island,0,0,0,0,0,0,0,0,0,0,0,0
Kusilvak,0,0,0,0,0,0,0,0,0,0,0,0
Lake and Peninsula,0,0,0,0,0,0,0,0,0,0,0,0
Matanuska-Susitna,0,0,0,0,0,2,2,2,3,3,4,4
Nome,0,0,0,0,0,0,0,0,0,0,0,0
North Slope,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Arctic,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg,0,0,0,0,0,0,0,0,0,0,0,1
Prince of Wales-Hyder,0,0,0,0,0,0,0,0,0,0,0,0
Sitka,0,0,0,0,0,0,0,0,0,0,0,0
Skagway,0,0,0,0,0,0,0,0,0,0,0,0
Southeast Fairbanks,0,0,0,0,0,0,0,0,0,0,0,1
Valdez-Cordova,0,0,0,0,0,0,0,0,0,0,0,0
Wrangell,0,0,0,0,0,0,0,0,0,0,0,0
Yakutat,0,0,0,0,0,0,0,0,0,0,0,0
Yukon-Koyukuk,0,0,0,0,0,0,0,0,0,0,0,1
Out of AK,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
