Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Virginia,Accomack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Albemarle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Alleghany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Amelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Appomattox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Arlington,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Virginia,Augusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Bland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Botetourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Buchanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Buckingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Caroline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Charles City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Culpeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Dickenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Dinwiddie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Fairfax,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Virginia,Fauquier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Fluvanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Giles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Gloucester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Goochland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Grayson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Greensville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Halifax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Hanover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Henrico,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Virginia,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Highland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Isle of Wight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,James City,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Virginia,King and Queen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,King George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,King William,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Loudoun,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,Louisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Lunenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Mathews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Mecklenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Middlesex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,New Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Northumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Nottoway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Patrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Pittsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Powhatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Prince Edward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Prince George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Prince William,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
