Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
California,Alameda,118,135,135,178,220,220,270,283,313,313,359,443
California,Alpine,0,0,0,0,0,0,0,0,0,1,1,1
California,Amador,1,2,2,2,2,2,2,2,2,2,3,3
California,Butte,2,2,4,5,5,5,5,5,8,8,9,10
California,Calaveras,2,2,2,3,3,3,3,3,3,3,3,3
California,Colusa,0,0,0,0,0,1,1,1,1,1,1,1
California,Contra Costa,71,86,108,131,147,168,168,187,212,249,250,307
California,Del Norte,0,0,0,0,0,0,0,0,0,0,0,1
California,El Dorado,2,2,3,3,9,12,12,12,15,18,18,19
California,Fresno,6,13,18,19,27,31,43,43,53,68,82,94
California,Glenn,0,0,0,0,0,0,1,1,2,2,2,2
California,Humboldt,2,4,5,10,12,14,18,18,21,27,28,37
California,Imperial,6,6,9,9,17,21,25,25,33,38,43,52
California,Inyo,0,0,1,2,3,5,8,8,8,9,9,10
California,Kern,12,13,15,29,33,47,51,60,83,110,142,173
California,Kings,0,0,0,0,0,2,2,2,3,4,5,5
California,Lake,0,0,0,0,0,0,0,0,0,0,0,0
California,Lassen,0,0,0,0,0,0,0,0,0,0,0,0
California,Los Angeles,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566
California,Madera,3,6,6,7,10,11,15,18,21,23,25,28
California,Marin,38,47,53,60,65,68,74,93,99,107,108,118
California,Mariposa,0,0,0,0,0,0,0,0,0,0,0,0
California,Mendocino,1,2,2,2,2,2,3,4,4,4,4,4
California,Merced,1,1,2,2,4,7,8,9,10,10,12,16
California,Modoc,0,0,0,0,0,0,0,0,0,0,0,0
California,Mono,1,1,4,4,6,8,11,13,13,13,18,18
California,Monterey,14,20,24,24,24,32,36,36,40,42,48,53
California,Napa,2,2,2,6,6,9,10,14,14,15,18,18
California,Nevada,2,3,4,7,8,12,12,17,21,26,26,30
California,Orange,125,152,187,256,321,403,431,464,502,606,656,711
California,Placer,12,20,30,30,30,41,53,53,57,78,90,97
California,Plumas,0,0,0,0,0,0,0,0,0,1,1,1
California,Riverside,46,57,68,105,149,183,195,291,371,371,493,493
California,Sacramento,88,88,113,113,164,164,164,224,224,224,314,390
California,San Benito,6,6,7,9,13,14,14,14,17,21,23,23
California,San Bernardino,17,31,38,54,54,76,76,111,125,183,254,304
California,San Diego,201,226,238,293,341,413,484,515,603,733,849,966
California,San Francisco,131,152,178,223,279,308,340,374,397,434,450,497
California,San Joaquin,41,51,68,71,90,93,113,123,136,151,173,180
California,San Luis Obispo,27,42,46,54,59,67,67,71,80,80,89,93
California,San Mateo,142,161,165,195,239,274,277,309,309,388,453,486
California,Santa Barbara,18,18,24,26,32,47,64,68,88,99,111,139
California,Santa Clara,302,375,459,542,574,591,646,848,890,956,1019,1019
California,Santa Cruz,22,22,24,25,32,34,41,44,45,49,54,57
California,Shasta,2,2,3,3,3,3,4,4,6,7,7,11
California,Sierra,0,0,0,0,0,0,0,0,0,0,0,0
California,Siskiyou,2,2,3,3,3,3,3,4,3,3,3,3
California,Solano,14,21,24,31,34,34,34,34,43,49,54,61
California,Sonoma,29,29,34,37,44,50,58,58,73,78,91,95
California,Stanislaus,8,11,12,13,17,23,29,31,33,39,44,51
California,Sutter,0,0,0,2,2,3,6,6,9,10,14,14
California,Tehama,0,0,0,0,0,0,0,0,0,0,0,0
California,Trinity,0,0,0,0,0,0,0,0,0,0,0,0
California,Tulare,16,17,17,18,20,24,29,35,43,45,74,81
California,Tuolumne,0,0,0,0,0,0,0,0,2,2,2,2
California,Ventura,30,35,39,50,61,83,98,109,126,149,160,177
California,Yolo,6,8,10,11,13,16,16,16,24,25,28,33
California,Yuba,3,3,0,3,3,3,3,4,6,7,8,8
California,Out of CA,0,0,0,0,0,0,0,0,0,0,0,0
California,Unassigned,0,0,0,0,12,0,0,0,0,0,0,0
