County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Aurora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beadle,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Homme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Mix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fall River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haakon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerauld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McPherson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnehaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oglala Lakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Perkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ziebach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
