Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Illinois,Adams,1,1,1,1,1,1,2,2,2,2,2,2
Illinois,Alexander,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Bond,0,0,0,0,0,0,1,1,2,2,3,3
Illinois,Boone,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Brown,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Bureau,0,0,0,0,1,1,1,1,1,2,2,2
Illinois,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Carroll,0,0,0,0,0,1,1,1,2,3,4,4
Illinois,Cass,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Champaign,3,4,4,10,10,11,21,23,26,33,43,51
Illinois,Christian,1,1,1,1,1,1,6,12,13,14,15,17
Illinois,Clark,0,0,0,0,0,0,0,1,1,1,2,2
Illinois,Clay,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Clinton,3,3,4,4,5,5,6,6,7,8,8,8
Illinois,Coles,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Cook,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111
Illinois,Crawford,0,0,0,0,0,0,0,1,1,1,1,1
Illinois,Cumberland,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,DeKalb,1,1,1,1,4,4,8,4,9,14,16,16
Illinois,De Witt,0,0,0,0,0,0,0,0,0,0,0,1
Illinois,Douglas,0,0,1,1,1,1,1,1,3,8,8,9
Illinois,DuPage,95,103,131,131,199,202,274,320,356,392,448,500
Illinois,Edgar,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Effingham,0,0,0,0,0,0,0,0,0,0,0,1
Illinois,Fayette,0,0,0,0,0,1,1,1,1,2,2,2
Illinois,Ford,0,0,0,0,0,0,0,0,1,1,1,1
Illinois,Franklin,0,0,0,0,1,1,2,1,1,1,1,1
Illinois,Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Gallatin,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Greene,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Grundy,0,1,1,1,2,2,3,3,4,4,5,7
Illinois,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Hancock,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Hardin,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Henderson,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Henry,0,0,0,0,1,2,2,2,2,3,4,7
Illinois,Iroquois,0,0,0,0,1,1,2,1,2,2,2,4
Illinois,Jackson,1,1,1,1,1,2,3,3,4,4,6,8
Illinois,Jasper,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
