Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Idaho,Ada,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
Idaho,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bannock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bear Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Benewah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Blaine,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Idaho,Boise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bonner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bonneville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Boundary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Camas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Canyon,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Idaho,Caribou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Cassia,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Idaho,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Clearwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Elmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Gem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Gooding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Jerome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Kootenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Latah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Lemhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Minidoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Nez Perce,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Idaho,Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Owyhee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Payette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Shoshone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Teton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Twin Falls,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Idaho,Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Out of ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
