County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,0,0,0,0,0,0,0,0,1,2,2,2,6,6,6
Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berks,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3
Blair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bucks,0,0,0,0,0,0,1,4,3,6,6,8,11,14,17
Butler,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
Cambria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chester,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3
Clarion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
Dauphin,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Delaware,0,0,2,2,3,4,4,4,5,7,8,10,13,14,15
Elk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lackawanna,0,1,2,2,2,2,2,2,3,3,3,4,6,6,7
Lancaster,0,0,0,0,0,1,2,2,3,3,4,5,5,8,11
Lawrence,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehigh,1,1,1,1,2,3,3,3,4,5,5,5,7,8,8
Luzerne,0,0,1,1,2,2,2,3,4,4,5,5,5,5,5
Lycoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mifflin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,1,1,1,2,2,2,3,7,7,8,10,10,11,11,11
Montgomery,1,1,2,3,3,5,5,5,6,8,9,11,17,18,18
Montour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northampton,2,2,3,3,3,4,4,5,5,5,9,10,11,11,12
Northumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Philadelphia,0,0,1,1,2,5,8,8,10,10,13,14,24,28,45
Pike,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schuylkill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snyder,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Susquehanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tioga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westmoreland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Out of PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
