County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,18,25,27,50,50,71,110,110,181,181,212,260
Alamosa,0,0,0,0,0,1,1,1,1,1,4,4
Arapahoe,58,58,69,119,119,155,241,241,333,333,381,441
Archuleta,0,0,0,0,0,0,0,0,1,1,1,1
Baca,0,0,0,0,1,1,1,1,3,3,3,9
Bent,0,0,0,0,0,0,0,0,0,0,0,0
Boulder,39,39,49,66,66,76,90,90,107,107,114,132
Broomfield,1,2,5,10,10,13,17,17,20,20,21,30
Chaffee,3,3,3,5,5,5,15,15,17,17,17,18
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek,3,3,3,3,3,3,3,3,4,4,6,6
Conejos,0,0,0,0,0,0,0,0,0,0,0,0
Costilla,0,0,0,0,0,1,1,1,3,3,3,3
Crowley,1,1,1,1,1,1,1,1,1,1,1,1
Custer,0,0,0,0,0,0,0,0,0,0,0,1
Delta,0,0,1,1,1,2,1,1,1,1,1,1
Denver,148,148,214,262,262,312,408,408,539,539,586,643
Dolores,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,48,48,53,67,67,79,102,102,141,141,158,171
Eagle,92,92,120,147,147,170,187,187,227,227,295,314
Elbert,3,3,3,3,3,3,3,3,5,5,5,5
El Paso,69,69,122,137,137,160,214,214,286,286,314,340
Fremont,0,0,1,1,1,1,1,1,2,2,2,2
Garfield,8,8,10,16,16,16,25,25,33,33,34,43
Gilpin,0,0,0,0,0,0,0,0,0,0,0,0
Grand,2,2,2,2,2,2,2,2,4,4,4,4
Gunnison,28,28,40,57,57,66,79,79,82,82,84,86
Hinsdale,1,1,1,1,1,1,1,1,1,1,1,1
Huerfano,0,0,1,1,1,1,1,1,1,1,1,1
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,55,55,93,131,131,158,213,213,304,304,356,385
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,1,1,2,1,1,2,2,4,4
Lake,0,0,0,0,0,0,0,0,1,1,2,2
La Plata,0,0,1,5,5,13,21,21,23,23,23,24
Larimer,34,34,43,61,61,67,84,84,99,99,107,124
Las Animas,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,1,1,1,1,1,1,1
Logan,2,2,2,2,2,3,5,5,6,6,6,7
Mesa,5,5,5,6,6,9,11,12,14,16,14,17
Mineral,0,0,0,0,0,0,1,1,2,2,2,2
Moffat,0,0,0,0,0,0,2,2,4,4,4,4
Montezuma,0,0,0,0,0,0,1,1,1,1,1,3
Montrose,1,1,3,4,4,6,8,8,13,13,13,14
Morgan,2,3,3,3,3,4,5,5,4,4,5,7
Otero,0,0,0,1,1,2,3,3,3,3,3,3
Ouray,0,0,0,0,0,0,0,0,0,0,0,0
Park,1,1,1,1,1,1,3,3,3,3,3,3
Phillips,0,0,0,0,0,0,0,0,1,1,1,2
Pitkin,16,18,18,23,23,25,27,27,30,30,33,36
Prowers,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,3,3,3,3,3,6,10,10,21,21,22,26
Rio Blanco,0,0,0,0,0,0,0,0,0,0,0,0
Rio Grande,0,0,0,2,2,2,3,3,5,5,5,5
Routt,3,3,4,9,9,12,16,16,17,17,19,23
Saguache,0,0,0,0,0,0,0,0,1,1,1,3
San Juan,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,1,1,1,1,1,1,1,1,4,4,4,7
Sedgwick,0,0,0,0,0,0,0,0,0,0,0,0
Summit,7,8,10,9,11,13,11,14,20,34,34,40
Teller,0,3,3,7,7,7,7,7,7,7,7,7
Washington,0,0,0,1,1,1,1,1,1,1,1,1
Weld,50,50,87,107,107,129,180,180,255,255,293,329
Yuma,1,1,1,2,2,2,2,2,2,2,2,2
Out of CO,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,1,5,18,102,102,136,186,186,129,129,128,144
