Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Arkansas,Arkansas,0,0,0,0,0,0,0,1,1,1,1,1
Arkansas,Ashley,0,0,0,0,0,0,1,1,1,1,1,1
Arkansas,Baxter,0,0,0,0,0,1,1,1,1,1,1,1
Arkansas,Benton,1,1,1,18,23,28,31,35,38,39,40,42
Arkansas,Boone,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Bradley,4,4,4,4,4,4,4,4,4,4,4,4
Arkansas,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Carroll,0,0,0,0,0,0,0,0,0,0,1,1
Arkansas,Chicot,0,0,0,0,1,1,1,1,1,2,2,2
Arkansas,Clark,7,6,12,15,17,18,17,21,24,24,26,27
Arkansas,Clay,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Cleburne,27,32,40,47,49,50,50,56,61,62,63,64
Arkansas,Cleveland,3,3,3,3,3,5,5,5,5,5,5,5
Arkansas,Columbia,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Conway,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Craighead,4,4,4,4,4,4,6,6,8,11,12,14
Arkansas,Crawford,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Crittenden,1,1,6,7,9,14,17,17,17,29,32,37
Arkansas,Cross,0,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Dallas,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Desha,2,2,2,2,2,2,2,2,2,2,2,2
Arkansas,Drew,0,0,0,1,1,1,1,1,1,1,1,1
Arkansas,Faulkner,10,14,23,24,27,29,30,30,36,36,37,40
Arkansas,Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Garland,9,10,16,18,20,20,25,26,31,32,37,37
Arkansas,Grant,3,3,3,3,3,3,3,3,3,3,3,3
Arkansas,Greene,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Hempstead,0,1,1,1,1,0,0,1,1,1,1,1
Arkansas,Hot Spring,0,0,1,1,1,1,1,1,1,1,5,5
Arkansas,Howard,0,0,0,0,0,1,1,1,1,1,1,1
Arkansas,Independence,3,3,3,3,3,3,3,3,3,3,3,3
Arkansas,Izard,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Jefferson,21,21,22,23,23,25,25,26,33,42,49,51
Arkansas,Johnson,0,0,0,0,0,1,1,1,1,1,6,7
Arkansas,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Lawrence,1,1,0,1,1,1,1,1,1,1,1,1
Arkansas,Lee,0,0,0,0,0,0,0,0,0,0,1,1
Arkansas,Lincoln,2,2,2,5,5,6,6,6,6,6,6,6
Arkansas,Little River,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Logan,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Lonoke,0,0,0,1,1,1,1,1,1,6,7,15
Arkansas,Madison,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Marion,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Miller,0,0,0,0,0,0,0,0,0,1,7,8
Arkansas,Mississippi,0,0,0,0,0,0,0,0,0,0,0,1
Arkansas,Monroe,0,0,0,0,0,0,0,0,0,0,0,1
Arkansas,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Nevada,0,0,0,0,0,0,1,1,1,1,1,1
Arkansas,Newton,0,0,0,0,0,0,0,0,1,1,1,1
Arkansas,Ouachita,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Perry,0,0,0,0,0,0,0,1,1,1,1,1
Arkansas,Phillips,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Pike,0,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Poinsett,3,3,3,3,3,3,3,3,5,5,5,5
Arkansas,Polk,1,1,1,1,1,1,1,1,1,1,5,5
Arkansas,Pope,1,1,1,1,1,1,1,1,5,6,6,8
Arkansas,Prairie,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Pulaski,61,64,78,83,88,92,93,94,102,107,115,130
Arkansas,Randolph,0,0,0,1,1,1,1,1,1,1,1,1
Arkansas,St. Francis,0,0,0,0,0,0,0,0,1,1,1,1
Arkansas,Saline,4,4,4,4,4,4,6,6,10,13,16,19
Arkansas,Scott,0,0,0,0,0,0,0,0,0,1,1,1
Arkansas,Searcy,2,2,2,2,2,2,2,2,2,2,2,2
Arkansas,Sebastian,1,1,2,2,2,2,2,5,7,8,8,8
Arkansas,Sevier,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Sharp,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Stone,1,1,1,1,1,1,1,1,5,5,5,5
Arkansas,Union,1,1,1,1,1,5,5,7,8,9,10,10
Arkansas,Van Buren,3,5,8,11,16,17,17,20,19,20,20,20
Arkansas,Washington,5,5,6,10,13,14,14,15,19,22,23,24
Arkansas,White,1,1,1,1,6,6,6,6,10,11,15,23
Arkansas,Woodruff,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,Yell,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Out of AR,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Unassigned,3,13,20,24,35,32,31,49,34,44,43,47
