Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Iowa,Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Allamakee,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Iowa,Appanoose,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Iowa,Audubon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Bremer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Buchanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Buena Vista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Cedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Cerro Gordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Chickasaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Des Moines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Dickinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Dubuque,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Iowa,Emmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Guthrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Iowa,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Ida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
