County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Beaverhead,0,0,0,0,0,0,0,0,0,0,0,0
Big Horn,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,0,0,0,0,0,0,0,0,0,0,0,0
Broadwater,1,1,2,2,2,2,3,3,3,3,3,3
Carbon,0,0,0,0,0,0,0,0,0,0,1,1
Carter,0,0,0,0,0,0,0,0,0,0,0,0
Cascade,3,3,3,5,6,7,7,7,9,9,11,11
Chouteau,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,0,0
Daniels,0,0,0,0,0,0,0,0,0,0,0,0
Dawson,0,0,0,0,0,0,0,0,0,0,0,0
Deer Lodge,0,0,0,0,0,0,1,2,3,3,3,3
Fallon,0,0,0,0,0,0,0,0,0,0,0,0
Fergus,0,0,0,0,0,0,0,0,0,0,0,0
Flathead,2,4,5,5,6,6,7,9,11,14,18,18
Gallatin,10,16,24,38,39,46,58,67,74,76,93,93
Garfield,0,0,0,0,0,0,0,0,0,0,0,0
Glacier,0,0,0,0,0,0,0,0,0,0,0,1
Golden Valley,0,0,0,0,0,0,0,0,0,0,0,0
Granite,0,0,0,0,0,0,0,0,0,0,0,0
Hill,0,0,1,1,1,1,1,1,1,1,1,1
Jefferson,0,0,1,1,1,2,2,2,2,2,2,2
Judith Basin,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,1,1,2,3,3,4,4,4
Lewis and Clark,3,3,3,5,8,9,10,11,12,14,13,13
Liberty,0,0,0,0,0,0,0,0,0,1,1,1
Lincoln,0,0,0,1,1,3,3,4,5,5,6,6
McCone,0,0,0,0,0,0,0,0,0,0,0,0
Madison,1,1,2,2,2,3,4,4,6,6,6,6
Meagher,0,0,0,1,1,1,1,1,1,1,1,1
Mineral,0,0,0,0,0,0,0,0,0,0,0,0
Missoula,3,6,6,7,8,9,11,12,14,14,17,17
Musselshell,0,0,0,0,0,0,0,0,1,1,1,1
Park,0,0,0,0,1,1,2,2,3,3,6,6
Petroleum,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,0,0,0,0,0,0,0,0,0,0,0,0
Pondera,0,0,0,0,0,0,0,0,0,0,0,0
Powder River,0,0,0,0,0,0,0,0,0,0,0,0
Powell,0,0,0,0,0,0,0,0,0,0,0,0
Prairie,0,0,0,0,0,0,0,0,0,0,0,0
Ravalli,1,1,1,1,1,1,1,1,1,1,1,1
Richland,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,1,1,1,1,1,1,1,1,1,1,1,1
Rosebud,0,0,0,0,0,0,0,0,0,0,0,0
Sanders,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0
Silver Bow,2,2,4,5,8,8,9,9,10,10,11,11
Stillwater,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Grass,0,0,0,0,0,0,0,0,0,0,0,0
Teton,0,0,0,0,0,0,0,0,0,0,0,0
Toole,0,0,0,1,2,5,5,6,7,7,6,6
Treasure,0,0,0,0,0,0,0,0,0,0,0,0
Valley,0,0,0,0,0,0,0,0,0,0,0,0
Wheatland,0,0,0,0,0,0,0,0,0,0,0,0
Wibaux,0,0,0,0,0,0,0,0,0,0,0,0
Yellowstone,6,7,12,14,20,23,26,26,31,32,35,36
Out of MT,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,1,6,0,0,0,0,0,0,0,0,0,0
