Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Vermont,Addison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Bennington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Chittenden,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Vermont,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Grand Isle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Lamoille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Rutland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Windham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Windsor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,Out of VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Unassigned,3,2,3,4,5,7,7,7,8,11,12,12,15,17,18
