Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Missouri,Adair,0,0,0,0,0,0,0,0
Missouri,Andrew,0,0,0,0,0,0,0,0
Missouri,Atchison,0,0,0,0,0,0,0,0
Missouri,Audrain,0,0,0,0,0,0,0,0
Missouri,Barry,0,0,0,0,0,0,0,0
Missouri,Barton,0,0,0,0,0,0,0,0
Missouri,Bates,0,0,0,0,0,0,0,0
Missouri,Benton,0,0,0,0,0,0,0,0
Missouri,Bollinger,0,0,0,0,0,0,0,0
Missouri,Boone,1,1,1,1,1,1,1,1
Missouri,Buchanan,0,0,0,0,0,0,0,0
Missouri,Butler,0,0,0,0,0,0,0,0
Missouri,Caldwell,0,0,0,0,0,0,0,0
Missouri,Callaway,0,0,0,0,0,0,0,0
Missouri,Camden,0,0,0,0,0,0,1,1
Missouri,Cape Girardeau,0,0,0,0,0,0,0,0
Missouri,Carroll,0,0,0,0,0,0,0,0
Missouri,Carter,0,0,0,0,0,0,0,0
Missouri,Cass,0,0,0,0,0,0,0,0
Missouri,Cedar,0,0,0,0,0,0,0,0
Missouri,Chariton,0,0,0,0,0,0,0,0
Missouri,Christian,0,0,0,0,0,0,0,0
Missouri,Clark,0,0,0,0,0,0,0,0
Missouri,Clay,0,0,0,0,0,0,0,0
Missouri,Clinton,0,0,0,0,0,0,0,0
Missouri,Cole,0,0,0,0,0,0,0,0
Missouri,Cooper,0,0,0,0,0,0,0,0
Missouri,Crawford,0,0,0,0,0,0,0,0
Missouri,Dade,0,0,0,0,0,0,0,0
Missouri,Dallas,0,0,0,0,0,0,0,0
Missouri,Daviess,0,0,0,0,0,0,0,0
Missouri,DeKalb,0,0,0,0,0,0,0,0
Missouri,Dent,0,0,0,0,0,0,0,0
Missouri,Douglas,0,0,0,0,0,0,0,0
Missouri,Dunklin,0,0,0,0,0,0,0,0
Missouri,Franklin,0,0,0,0,0,0,0,0
Missouri,Gasconade,0,0,0,0,0,0,0,0
Missouri,Gentry,0,0,0,0,0,0,0,0
Missouri,Greene,0,3,3,3,3,4,4,4
Missouri,Grundy,0,0,0,0,0,0,0,0
Missouri,Harrison,0,0,0,0,0,0,0,0
Missouri,Henry,0,0,0,0,0,0,1,1
Missouri,Hickory,0,0,0,0,0,0,0,0
Missouri,Holt,0,0,0,0,0,0,0,0
Missouri,Howard,0,0,0,0,0,0,0,0
Missouri,Howell,0,0,0,0,0,0,0,0
Missouri,Iron,0,0,0,0,0,0,0,0
Missouri,Jackson,1,1,1,1,1,1,1,1
Missouri,Jasper,0,0,0,0,0,0,0,0
Missouri,Jefferson,0,0,0,0,0,0,0,0
Missouri,Johnson,0,0,0,0,0,0,0,0
Missouri,Knox,0,0,0,0,0,0,0,0
Missouri,Laclede,0,0,0,0,0,0,0,0
Missouri,Lafayette,0,0,0,0,0,0,0,0
Missouri,Lawrence,0,0,0,0,0,0,0,0
Missouri,Lewis,0,0,0,0,0,0,0,0
Missouri,Lincoln,0,0,0,0,0,0,0,0
Missouri,Linn,0,0,0,0,0,0,0,0
Missouri,Livingston,0,0,0,0,0,0,0,0
Missouri,McDonald,0,0,0,0,0,0,0,0
Missouri,Macon,0,0,0,0,0,0,0,0
Missouri,Madison,0,0,0,0,0,0,0,0
Missouri,Maries,0,0,0,0,0,0,0,0
Missouri,Marion,0,0,0,0,0,0,0,0
Missouri,Mercer,0,0,0,0,0,0,0,0
Missouri,Miller,0,0,0,0,0,0,0,0
Missouri,Mississippi,0,0,0,0,0,0,0,0
Missouri,Moniteau,0,0,0,0,0,0,0,0
Missouri,Monroe,0,0,0,0,0,0,0,0
Missouri,Montgomery,0,0,0,0,0,0,0,0
Missouri,Morgan,0,0,0,0,0,0,0,0
Missouri,New Madrid,0,0,0,0,0,0,0,0
Missouri,Newton,0,0,0,0,0,0,0,0
