Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Oregon,Baker,0,0,0,0,0,0,0,0
Oregon,Benton,0,0,0,0,0,0,0,0
Oregon,Clackamas,0,1,2,2,2,2,2,3
Oregon,Clatsop,0,0,0,0,0,0,0,0
Oregon,Columbia,0,0,0,0,0,0,0,0
Oregon,Coos,0,0,0,0,0,0,0,0
Oregon,Crook,0,0,0,0,0,0,0,0
Oregon,Curry,0,0,0,0,0,0,0,0
Oregon,Deschutes,0,0,0,0,0,0,0,0
Oregon,Douglas,0,0,0,0,0,0,0,0
Oregon,Gilliam,0,0,0,0,0,0,0,0
Oregon,Grant,0,0,0,0,0,0,0,0
Oregon,Harney,0,0,0,0,0,0,0,0
Oregon,Hood River,0,0,0,0,0,0,0,0
Oregon,Jackson,0,0,0,0,0,0,0,0
Oregon,Jefferson,0,0,0,0,0,0,0,0
Oregon,Josephine,0,0,0,0,0,0,0,0
Oregon,Klamath,0,0,0,0,0,0,0,0
Oregon,Lake,0,0,0,0,0,0,0,0
Oregon,Lane,1,1,1,1,1,1,1,1
Oregon,Lincoln,0,0,0,0,0,0,0,0
Oregon,Linn,1,1,1,1,1,1,1,2
Oregon,Malheur,0,0,0,0,0,0,0,0
Oregon,Marion,1,1,2,2,3,3,3,3
Oregon,Morrow,0,0,0,0,0,0,0,0
Oregon,Multnomah,1,2,2,2,2,2,2,2
Oregon,Polk,0,0,0,0,0,0,0,0
Oregon,Sherman,0,0,0,0,0,0,0,0
Oregon,Tillamook,0,0,0,0,0,0,0,0
Oregon,Umatilla,0,0,0,0,0,0,0,0
Oregon,Union,0,0,0,0,0,0,0,0
Oregon,Wallowa,0,0,0,0,0,0,0,0
Oregon,Wasco,0,0,0,0,0,0,0,0
Oregon,Washington,1,2,2,3,3,3,3,3
Oregon,Wheeler,0,0,0,0,0,0,0,0
Oregon,Yamhill,0,0,0,0,0,1,1,2
Oregon,Out of OR,0,0,0,0,0,0,0,0
Oregon,Unassigned,0,0,0,0,0,0,0,0
