Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Vermont,Addison,0,0,0,0,0,0,0,0
Vermont,Bennington,0,0,0,0,0,0,0,0
Vermont,Caledonia,0,0,0,0,0,0,0,0
Vermont,Chittenden,1,4,4,4,4,4,4,4
Vermont,Essex,0,0,0,0,0,0,0,0
Vermont,Franklin,0,0,0,0,0,0,0,0
Vermont,Grand Isle,0,0,0,0,0,0,0,0
Vermont,Lamoille,0,0,0,0,0,0,0,0
Vermont,Orange,0,0,0,0,0,0,0,0
Vermont,Orleans,0,0,0,0,0,0,0,0
Vermont,Rutland,0,0,0,0,0,0,0,0
Vermont,Washington,0,0,0,0,0,0,0,0
Vermont,Windham,0,0,0,0,0,0,0,0
Vermont,Windsor,1,1,1,1,1,1,1,1
Vermont,Out of VT,0,0,0,0,0,0,0,0
Vermont,Unassigned,3,2,3,4,5,7,7,7
