Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Nebraska,Adams,1,1,1,1,1,2,2,3
Nebraska,Antelope,0,0,0,0,0,0,0,0
Nebraska,Arthur,0,0,0,0,0,0,0,0
Nebraska,Banner,0,0,0,0,0,0,0,0
Nebraska,Blaine,0,0,0,0,0,0,0,0
Nebraska,Boone,0,0,0,0,0,0,0,0
Nebraska,Box Butte,0,0,0,0,0,0,0,0
Nebraska,Boyd,0,0,0,0,0,0,0,0
Nebraska,Brown,0,0,0,0,0,0,0,0
Nebraska,Buffalo,2,2,2,2,4,4,5,6
Nebraska,Burt,0,0,0,0,0,0,0,0
Nebraska,Butler,0,0,0,0,0,0,0,0
Nebraska,Cass,1,2,2,2,2,2,2,2
Nebraska,Cedar,0,0,0,0,0,0,0,0
Nebraska,Chase,0,0,0,0,0,0,0,0
Nebraska,Cherry,0,0,0,0,0,0,0,0
Nebraska,Cheyenne,0,0,0,0,0,0,0,0
Nebraska,Clay,0,0,0,0,0,0,0,0
Nebraska,Colfax,0,0,0,0,0,0,0,0
Nebraska,Cuming,0,0,0,0,0,0,0,0
Nebraska,Custer,0,0,0,0,0,0,0,0
Nebraska,Dakota,0,0,0,0,0,0,0,0
Nebraska,Dawes,0,0,0,0,0,0,0,0
Nebraska,Dawson,0,0,0,0,0,1,1,1
Nebraska,Deuel,0,0,0,0,0,0,0,0
Nebraska,Dixon,0,0,0,0,0,0,0,0
Nebraska,Dodge,0,0,0,0,0,2,2,3
Nebraska,Douglas,34,39,43,44,44,51,57,75
Nebraska,Dundy,0,0,0,0,0,0,0,0
Nebraska,Fillmore,0,0,0,0,0,0,0,0
Nebraska,Franklin,0,0,0,0,0,0,0,0
Nebraska,Frontier,0,0,0,0,0,0,0,0
Nebraska,Furnas,0,0,0,0,0,0,0,0
Nebraska,Gage,0,1,1,1,1,1,1,0
Nebraska,Garden,0,0,0,0,0,0,0,0
Nebraska,Garfield,0,0,0,0,0,0,0,0
Nebraska,Gosper,0,0,0,0,0,0,1,1
Nebraska,Grant,0,0,0,0,0,0,0,0
Nebraska,Greeley,0,0,0,0,0,0,0,0
Nebraska,Hall,0,0,0,0,0,3,3,6
Nebraska,Hamilton,0,0,0,0,0,0,0,0
Nebraska,Harlan,0,0,0,0,0,0,0,0
Nebraska,Hayes,0,0,0,0,0,0,0,0
Nebraska,Hitchcock,0,0,0,0,0,0,0,0
Nebraska,Holt,0,0,0,0,0,0,0,0
Nebraska,Hooker,0,0,0,0,0,0,0,0
Nebraska,Howard,0,0,0,0,0,0,0,0
Nebraska,Jefferson,0,0,0,0,0,0,0,0
Nebraska,Johnson,0,0,0,0,0,0,0,0
Nebraska,Kearney,0,0,0,0,1,1,1,1
Nebraska,Keith,0,0,0,0,0,0,0,0
Nebraska,Keya Paha,0,0,0,0,0,0,0,0
Nebraska,Kimball,0,0,0,0,0,0,0,0
Nebraska,Knox,2,2,2,2,2,2,2,2
Nebraska,Lancaster,2,2,3,3,3,4,4,8
Nebraska,Lincoln,3,3,3,3,3,3,3,5
Nebraska,Logan,0,0,0,0,0,0,0,0
Nebraska,Loup,0,0,0,0,0,0,0,0
Nebraska,McPherson,0,0,0,0,0,0,0,0
Nebraska,Madison,0,1,1,1,1,1,1,2
Nebraska,Merrick,0,0,0,0,0,0,0,0
Nebraska,Morrill,0,0,0,0,0,0,0,0
Nebraska,Nance,0,0,0,0,0,0,0,0
Nebraska,Nemaha,1,1,1,1,1,1,1,1
Nebraska,Nuckolls,0,0,0,0,0,0,0,0
Nebraska,Otoe,0,0,0,0,0,0,0,0
Nebraska,Pawnee,0,0,0,0,0,0,0,0
Nebraska,Perkins,0,0,0,0,0,0,0,0
Nebraska,Phelps,0,0,0,0,0,0,0,0
Nebraska,Pierce,0,0,0,0,0,0,0,0
Nebraska,Platte,0,0,0,0,0,0,0,1
Nebraska,Polk,0,0,0,0,0,0,0,0
Nebraska,Red Willow,0,0,0,0,0,0,0,0
Nebraska,Richardson,0,0,0,0,0,0,0,0
Nebraska,Rock,0,0,0,0,0,0,0,0
Nebraska,Saline,0,0,0,0,0,0,0,0
Nebraska,Sarpy,5,8,8,8,10,11,11,13
Nebraska,Saunders,0,1,1,2,2,2,2,2
Nebraska,Scotts Bluff,0,0,0,0,0,0,0,1
Nebraska,Seward,0,0,0,0,0,0,0,0
Nebraska,Sheridan,0,0,0,0,0,0,0,0
Nebraska,Sherman,0,0,0,0,0,0,0,0
Nebraska,Sioux,0,0,0,0,0,0,0,0
Nebraska,Stanton,0,0,0,0,0,0,0,0
Nebraska,Thayer,0,0,0,0,0,0,0,0
Nebraska,Thomas,0,0,0,0,0,0,0,0
Nebraska,Thurston,0,0,0,0,0,0,0,0
Nebraska,Valley,0,0,0,0,0,0,0,0
Nebraska,Washington,0,3,3,4,5,5,5,9
Nebraska,Wayne,0,0,0,0,0,0,0,0
Nebraska,Webster,0,0,0,0,0,0,0,0
Nebraska,Wheeler,0,0,0,0,0,0,0,0
Nebraska,York,0,0,0,0,0,0,0,1
Nebraska,Out of NE,0,0,0,0,0,0,0,0
Nebraska,Unassigned,0,0,0,0,2,0,4,2
