Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
California,Alameda,118,135,135,178,220,220,270,283
California,Alpine,0,0,0,0,0,0,0,0
California,Amador,1,2,2,2,2,2,2,2
California,Butte,2,2,4,5,5,5,5,5
California,Calaveras,2,2,2,3,3,3,3,3
California,Colusa,0,0,0,0,0,1,1,1
California,Contra Costa,71,86,108,131,147,168,168,187
California,Del Norte,0,0,0,0,0,0,0,0
California,El Dorado,2,2,3,3,9,12,12,12
California,Fresno,6,13,18,19,27,31,43,43
California,Glenn,0,0,0,0,0,0,1,1
California,Humboldt,2,4,5,10,12,14,18,18
California,Imperial,6,6,9,9,17,21,25,25
California,Inyo,0,0,1,2,3,5,8,8
California,Kern,12,13,15,29,33,47,51,60
California,Kings,0,0,0,0,0,2,2,2
California,Lake,0,0,0,0,0,0,0,0
California,Lassen,0,0,0,0,0,0,0,0
California,Los Angeles,536,662,812,1229,1465,1465,1829,2474
California,Madera,3,6,6,7,10,11,15,18
California,Marin,38,47,53,60,65,68,74,93
California,Mariposa,0,0,0,0,0,0,0,0
California,Mendocino,1,2,2,2,2,2,3,4
California,Merced,1,1,2,2,4,7,8,9
California,Modoc,0,0,0,0,0,0,0,0
California,Mono,1,1,4,4,6,8,11,13
California,Monterey,14,20,24,24,24,32,36,36
California,Napa,2,2,2,6,6,9,10,14
California,Nevada,2,3,4,7,8,12,12,17
California,Orange,125,152,187,256,321,403,431,464
California,Placer,12,20,30,30,30,41,53,53
California,Plumas,0,0,0,0,0,0,0,0
California,Riverside,46,57,68,105,149,183,195,291
California,Sacramento,88,88,113,113,164,164,164,224
California,San Benito,6,6,7,9,13,14,14,14
California,San Bernardino,17,31,38,54,54,76,76,111
California,San Diego,201,226,238,293,341,413,484,515
California,San Francisco,131,152,178,223,279,308,340,374
California,San Joaquin,41,51,68,71,90,93,113,123
California,San Luis Obispo,27,42,46,54,59,67,67,71
California,San Mateo,142,161,165,195,239,274,277,309
California,Santa Barbara,18,18,24,26,32,47,64,68
California,Santa Clara,302,375,459,542,574,591,646,848
California,Santa Cruz,22,22,24,25,32,34,41,44
California,Shasta,2,2,3,3,3,3,4,4
California,Sierra,0,0,0,0,0,0,0,0
California,Siskiyou,2,2,3,3,3,3,3,4
California,Solano,14,21,24,31,34,34,34,34
California,Sonoma,29,29,34,37,44,50,58,58
California,Stanislaus,8,11,12,13,17,23,29,31
California,Sutter,0,0,0,2,2,3,6,6
California,Tehama,0,0,0,0,0,0,0,0
California,Trinity,0,0,0,0,0,0,0,0
California,Tulare,16,17,17,18,20,24,29,35
California,Tuolumne,0,0,0,0,0,0,0,0
California,Ventura,30,35,39,50,61,83,98,109
California,Yolo,6,8,10,11,13,16,16,16
California,Yuba,3,3,0,3,3,3,3,4
California,Out of CA,0,0,0,0,0,0,0,0
California,Unassigned,0,0,0,0,12,0,0,0
