Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Michigan,Alcona,0,0,0,0,0,0,0,0
Michigan,Alger,0,0,0,0,0,0,0,0
Michigan,Allegan,1,1,1,1,1,2,2,2
Michigan,Alpena,0,0,0,0,0,0,0,0
Michigan,Antrim,0,0,0,0,0,0,0,2
Michigan,Arenac,0,0,0,0,0,0,0,0
Michigan,Baraga,0,0,0,0,0,0,0,0
Michigan,Barry,1,1,1,1,1,1,1,1
Michigan,Bay,2,2,3,4,4,4,5,9
Michigan,Benzie,0,0,0,0,0,0,0,0
Michigan,Berrien,5,8,10,11,18,22,29,32
Michigan,Branch,0,0,0,0,0,0,0,0
Michigan,Calhoun,3,4,6,7,9,11,15,17
Michigan,Cass,0,0,0,1,1,2,4,4
Michigan,Charlevoix,2,3,4,4,4,4,4,4
Michigan,Cheboygan,0,0,0,0,0,0,1,1
Michigan,Chippewa,1,1,1,1,1,0,0,0
Michigan,Clare,1,1,1,1,1,1,1,1
Michigan,Clinton,2,5,6,7,8,13,14,19
Michigan,Crawford,0,0,0,0,1,1,1,1
Michigan,Delta,0,0,0,0,0,0,0,1
Michigan,Dickinson,0,0,0,0,0,0,0,0
Michigan,Eaton,2,3,3,4,8,8,8,15
Michigan,Emmet,1,2,2,2,3,4,4,4
Michigan,Genesee,23,34,46,63,91,110,127,150
Michigan,Gladwin,1,2,2,2,2,2,3,2
Michigan,Gogebic,0,0,0,0,1,1,1,1
Michigan,Grand Traverse,1,3,3,3,3,5,6,7
Michigan,Gratiot,0,0,0,0,1,2,3,3
Michigan,Hillsdale,0,1,2,5,6,7,10,12
Michigan,Houghton,0,0,0,0,0,0,0,1
Michigan,Huron,0,0,0,0,1,1,3,3
Michigan,Ingham,12,15,18,22,26,32,43,73
Michigan,Ionia,0,0,0,2,2,2,2,4
Michigan,Iosco,0,0,1,1,1,1,1,1
Michigan,Iron,0,0,0,0,0,0,0,0
Michigan,Isabella,0,2,2,3,4,4,4,5
Michigan,Jackson,1,6,12,17,16,20,24,37
Michigan,Kalamazoo,3,3,5,10,11,15,19,24
Michigan,Kalkaska,0,1,2,2,4,4,4,5
Michigan,Kent,28,31,36,41,45,53,72,96
Michigan,Keweenaw,0,0,0,0,0,0,0,0
Michigan,Lake,0,0,0,0,0,0,0,0
Michigan,Lapeer,0,1,1,3,4,4,4,6
Michigan,Leelanau,1,1,1,1,1,1,1,1
Michigan,Lenawee,0,0,3,5,8,11,15,15
Michigan,Livingston,9,13,16,21,31,41,59,64
Michigan,Luce,0,0,1,0,0,0,0,0
Michigan,Mackinac,0,0,0,0,0,0,0,0
Michigan,Macomb,175,225,281,347,404,534,620,728
Michigan,Manistee,0,1,1,1,1,1,1,1
Michigan,Marquette,0,1,1,1,1,1,2,3
Michigan,Mason,0,0,0,0,0,0,0,0
Michigan,Mecosta,0,0,0,1,1,1,1,2
Michigan,Menominee,0,0,0,0,0,0,0,0
Michigan,Midland,5,5,6,6,8,8,8,9
Michigan,Missaukee,0,0,0,1,1,1,1,1
Michigan,Monroe,7,12,18,21,28,34,38,45
Michigan,Montcalm,1,1,2,3,3,3,3,4
Michigan,Montmorency,0,0,0,0,0,0,0,0
Michigan,Muskegon,1,3,3,3,6,7,13,18
Michigan,Newaygo,1,2,2,2,1,1,1,1
Michigan,Oakland,329,428,543,668,824,1018,1170,1365
Michigan,Oceana,0,0,0,1,1,1,2,2
Michigan,Ogemaw,0,0,0,1,1,1,1,4
Michigan,Ontonagon,0,0,0,0,0,0,0,0
Michigan,Osceola,0,0,0,0,0,1,2,2
Michigan,Oscoda,0,0,0,0,0,0,0,0
Michigan,Otsego,3,5,6,7,7,14,17,17
Michigan,Ottawa,11,15,16,18,21,23,25,28
Michigan,Presque Isle,0,0,0,0,0,0,0,0
Michigan,Roscommon,1,1,1,1,1,1,1,1
Michigan,Saginaw,2,8,9,10,14,19,24,36
Michigan,St. Clair,7,8,10,13,15,16,20,25
Michigan,St. Joseph,0,0,0,0,0,0,0,3
Michigan,Sanilac,0,0,2,1,2,2,2,5
Michigan,Schoolcraft,0,0,0,0,0,0,0,0
Michigan,Shiawassee,0,0,0,1,2,2,5,8
Michigan,Tuscola,1,1,2,2,2,4,4,5
Michigan,Van Buren,0,0,2,2,3,4,4,4
Michigan,Washtenaw,42,50,72,92,150,185,233,266
Michigan,Wayne,638,876,1122,1389,1810,2316,2704,3195
Michigan,Wexford,1,1,1,1,1,1,1,2
Michigan,Out of MI,4,6,7,7,8,15,18,17
Michigan,Unassigned,0,0,0,0,0,47,77,78
