Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Colorado,Adams,18,25,27,50,50,71,110,110
Colorado,Alamosa,0,0,0,0,0,1,1,1
Colorado,Arapahoe,58,58,69,119,119,155,241,241
Colorado,Archuleta,0,0,0,0,0,0,0,0
Colorado,Baca,0,0,0,0,1,1,1,1
Colorado,Bent,0,0,0,0,0,0,0,0
Colorado,Boulder,39,39,49,66,66,76,90,90
Colorado,Broomfield,1,2,5,10,10,13,17,17
Colorado,Chaffee,3,3,3,5,5,5,15,15
Colorado,Cheyenne,0,0,0,0,0,0,0,0
Colorado,Clear Creek,3,3,3,3,3,3,3,3
Colorado,Conejos,0,0,0,0,0,0,0,0
Colorado,Costilla,0,0,0,0,0,1,1,1
Colorado,Crowley,1,1,1,1,1,1,1,1
Colorado,Custer,0,0,0,0,0,0,0,0
Colorado,Delta,0,0,1,1,1,2,1,1
Colorado,Denver,148,148,214,262,262,312,408,408
Colorado,Dolores,0,0,0,0,0,0,0,0
Colorado,Douglas,48,48,53,67,67,79,102,102
Colorado,Eagle,92,92,120,147,147,170,187,187
Colorado,Elbert,3,3,3,3,3,3,3,3
Colorado,El Paso,69,69,122,137,137,160,214,214
Colorado,Fremont,0,0,1,1,1,1,1,1
Colorado,Garfield,8,8,10,16,16,16,25,25
Colorado,Gilpin,0,0,0,0,0,0,0,0
Colorado,Grand,2,2,2,2,2,2,2,2
Colorado,Gunnison,28,28,40,57,57,66,79,79
Colorado,Hinsdale,1,1,1,1,1,1,1,1
Colorado,Huerfano,0,0,1,1,1,1,1,1
Colorado,Jackson,0,0,0,0,0,0,0,0
Colorado,Jefferson,55,55,93,131,131,158,213,213
Colorado,Kiowa,0,0,0,0,0,0,0,0
Colorado,Kit Carson,0,0,0,1,1,2,1,1
Colorado,Lake,0,0,0,0,0,0,0,0
Colorado,La Plata,0,0,1,5,5,13,21,21
Colorado,Larimer,34,34,43,61,61,67,84,84
Colorado,Las Animas,0,0,0,0,0,0,0,0
Colorado,Lincoln,0,0,0,0,0,1,1,1
Colorado,Logan,2,2,2,2,2,3,5,5
Colorado,Mesa,5,5,5,6,6,9,11,12
Colorado,Mineral,0,0,0,0,0,0,1,1
Colorado,Moffat,0,0,0,0,0,0,2,2
Colorado,Montezuma,0,0,0,0,0,0,1,1
Colorado,Montrose,1,1,3,4,4,6,8,8
Colorado,Morgan,2,3,3,3,3,4,5,5
Colorado,Otero,0,0,0,1,1,2,3,3
Colorado,Ouray,0,0,0,0,0,0,0,0
Colorado,Park,1,1,1,1,1,1,3,3
Colorado,Phillips,0,0,0,0,0,0,0,0
Colorado,Pitkin,16,18,18,23,23,25,27,27
Colorado,Prowers,0,0,0,0,0,0,0,0
Colorado,Pueblo,3,3,3,3,3,6,10,10
Colorado,Rio Blanco,0,0,0,0,0,0,0,0
Colorado,Rio Grande,0,0,0,2,2,2,3,3
Colorado,Routt,3,3,4,9,9,12,16,16
Colorado,Saguache,0,0,0,0,0,0,0,0
Colorado,San Juan,0,0,0,0,0,0,0,0
Colorado,San Miguel,1,1,1,1,1,1,1,1
Colorado,Sedgwick,0,0,0,0,0,0,0,0
Colorado,Summit,7,8,10,9,11,13,11,14
Colorado,Teller,0,3,3,7,7,7,7,7
Colorado,Washington,0,0,0,1,1,1,1,1
Colorado,Weld,50,50,87,107,107,129,180,180
Colorado,Yuma,1,1,1,2,2,2,2,2
Colorado,Out of CO,0,0,0,0,0,0,0,0
Colorado,Unassigned,1,5,18,102,102,136,186,186
