Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Oklahoma,Adair,0,0,2,2,3,3,4,4
Oklahoma,Alfalfa,0,0,0,0,0,0,0,0
Oklahoma,Atoka,0,0,0,0,0,0,0,0
Oklahoma,Beaver,0,0,0,0,0,0,0,0
Oklahoma,Beckham,0,0,0,0,0,0,0,1
Oklahoma,Blaine,0,0,0,0,0,0,0,0
Oklahoma,Bryan,0,0,1,1,1,1,1,1
Oklahoma,Caddo,0,0,0,0,1,1,1,1
Oklahoma,Canadian,2,4,5,6,11,11,12,15
Oklahoma,Carter,0,0,1,1,1,1,1,1
Oklahoma,Cherokee,0,0,0,0,1,1,1,1
Oklahoma,Choctaw,0,0,0,0,1,1,1,1
Oklahoma,Cimarron,0,0,0,0,0,0,0,0
Oklahoma,Cleveland,16,22,27,39,39,46,51,60
Oklahoma,Coal,0,0,0,0,0,0,0,0
Oklahoma,Comanche,0,0,0,3,6,6,11,12
Oklahoma,Cotton,0,0,0,0,0,0,0,1
Oklahoma,Craig,0,0,0,1,1,1,1,1
Oklahoma,Creek,0,0,5,10,14,16,16,18
Oklahoma,Custer,1,2,3,3,3,3,4,4
Oklahoma,Delaware,0,0,1,1,2,4,4,7
Oklahoma,Dewey,0,0,0,0,0,0,0,0
Oklahoma,Ellis,0,0,0,0,0,0,0,0
Oklahoma,Garfield,0,0,0,0,0,0,2,2
Oklahoma,Garvin,2,2,2,2,2,2,4,6
Oklahoma,Grady,1,1,1,2,2,2,2,3
Oklahoma,Grant,0,0,0,0,0,0,0,0
Oklahoma,Greer,0,0,0,0,0,0,0,0
Oklahoma,Harmon,0,0,0,0,0,0,0,0
Oklahoma,Harper,0,0,0,0,0,0,0,0
Oklahoma,Haskell,0,0,0,0,0,0,0,0
Oklahoma,Hughes,0,0,0,0,0,0,0,0
Oklahoma,Jackson,1,1,1,1,1,1,1,1
Oklahoma,Jefferson,0,0,0,0,0,0,0,0
Oklahoma,Johnston,0,0,0,0,0,0,0,0
Oklahoma,Kay,5,5,5,11,17,18,20,20
Oklahoma,Kingfisher,0,0,0,0,0,0,0,0
Oklahoma,Kiowa,0,0,0,0,0,0,0,0
Oklahoma,Latimer,0,0,0,0,1,1,1,1
Oklahoma,Le Flore,0,0,0,0,0,1,1,1
Oklahoma,Lincoln,0,0,0,1,3,3,3,4
Oklahoma,Logan,1,1,3,3,3,3,3,4
Oklahoma,Love,0,0,0,0,0,0,0,1
Oklahoma,McClain,1,1,1,2,2,2,2,2
Oklahoma,McCurtain,0,0,0,0,0,0,0,0
Oklahoma,McIntosh,0,0,0,0,0,0,0,0
Oklahoma,Major,0,0,0,0,0,0,0,0
Oklahoma,Marshall,0,0,0,0,0,0,0,0
Oklahoma,Mayes,0,1,1,2,2,3,3,4
Oklahoma,Murray,0,0,0,0,0,0,0,0
Oklahoma,Muskogee,1,1,1,4,5,7,7,7
Oklahoma,Noble,1,2,2,2,3,3,3,3
Oklahoma,Nowata,0,0,0,0,0,1,3,4
Oklahoma,Okfuskee,0,0,0,0,0,0,0,0
Oklahoma,Oklahoma,29,41,55,73,94,107,120,134
Oklahoma,Okmulgee,0,0,0,2,2,2,3,3
Oklahoma,Osage,0,0,1,3,5,6,10,11
Oklahoma,Ottawa,0,0,0,1,1,4,4,6
Oklahoma,Pawnee,3,4,7,10,14,14,15,15
Oklahoma,Payne,3,3,3,5,7,12,13,14
Oklahoma,Pittsburg,0,0,0,0,2,2,2,2
Oklahoma,Pontotoc,1,1,1,1,2,3,3,3
Oklahoma,Pottawatomie,0,0,1,2,2,2,2,2
Oklahoma,Pushmataha,0,0,0,0,0,0,0,0
Oklahoma,Roger Mills,0,0,0,0,0,0,0,0
Oklahoma,Rogers,0,0,0,0,0,0,1,1
Oklahoma,Seminole,0,0,0,0,0,0,1,1
Oklahoma,Sequoyah,0,0,0,1,1,2,2,2
Oklahoma,Stephens,0,0,1,1,1,2,2,2
Oklahoma,Texas,0,0,0,0,0,0,1,1
Oklahoma,Tillman,0,0,0,0,0,0,0,0
Oklahoma,Tulsa,11,12,27,41,49,57,61,65
Oklahoma,Wagoner,0,0,3,6,8,8,8,8
Oklahoma,Washington,2,2,3,5,9,14,18,20
Oklahoma,Washita,0,0,0,0,0,0,0,0
Oklahoma,Woods,0,0,0,0,0,0,0,0
Oklahoma,Woodward,0,0,0,0,0,0,0,0
Oklahoma,Out of OK,0,0,0,0,0,0,0,0
Oklahoma,Unassigned,0,0,0,0,0,0,0,0
