Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Virginia,Accomack,1,1,2,2,2,2,3,6
Virginia,Albemarle,2,2,4,6,8,16,17,19
Virginia,Alleghany,0,0,0,0,0,0,0,1
Virginia,Amelia,0,0,0,1,1,1,1,1
Virginia,Amherst,1,1,1,1,1,2,2,3
Virginia,Appomattox,0,0,0,0,0,0,0,0
Virginia,Arlington,34,36,46,54,63,75,84,86
Virginia,Augusta,0,0,0,0,0,0,0,0
Virginia,Bath,0,0,0,0,0,0,0,0
Virginia,Bedford,1,1,3,3,3,3,3,2
Virginia,Bland,0,0,0,0,0,0,0,0
Virginia,Botetourt,1,1,1,1,1,1,2,5
Virginia,Brunswick,0,0,0,0,0,0,0,0
Virginia,Buchanan,0,0,0,0,0,0,0,0
Virginia,Buckingham,0,0,0,0,0,0,0,0
Virginia,Campbell,0,0,0,0,0,0,0,0
Virginia,Caroline,0,0,0,0,0,0,0,0
Virginia,Carroll,0,0,0,0,0,0,0,0
Virginia,Charles City,1,1,1,1,1,1,1,1
Virginia,Charlotte,0,0,0,0,0,0,0,0
Virginia,Chesterfield,9,10,11,12,12,12,12,21
Virginia,Clarke,0,0,0,0,0,0,0,0
Virginia,Craig,0,0,0,0,0,0,0,0
Virginia,Culpeper,2,2,2,2,2,2,2,3
Virginia,Cumberland,0,0,0,0,0,0,0,0
Virginia,Dickenson,0,0,0,0,0,0,0,0
Virginia,Dinwiddie,0,0,0,0,0,0,0,0
Virginia,Essex,0,0,0,0,0,0,0,0
Virginia,Fairfax,43,46,76,79,124,156,188,224
Virginia,Fauquier,0,0,0,1,4,6,6,6
Virginia,Floyd,0,0,0,0,0,0,0,0
Virginia,Fluvanna,1,1,1,3,3,3,3,3
Virginia,Franklin,1,1,1,1,1,1,5,5
Virginia,Frederick,0,0,2,2,4,4,8,10
Virginia,Giles,0,0,0,0,0,0,0,0
Virginia,Gloucester,2,2,2,2,3,6,6,7
Virginia,Goochland,2,3,3,3,3,5,6,6
Virginia,Grayson,0,0,0,0,0,0,0,0
Virginia,Greene,0,0,0,0,1,1,1,1
Virginia,Greensville,0,0,0,0,0,0,1,3
Virginia,Halifax,0,1,1,1,1,1,1,1
Virginia,Hanover,2,1,2,2,2,3,4,5
Virginia,Henrico,11,14,20,21,28,31,40,44
Virginia,Henry,0,0,0,0,0,0,0,1
Virginia,Highland,0,0,0,0,0,0,0,0
Virginia,Isle of Wight,1,2,2,2,2,3,3,3
Virginia,James City,34,37,41,49,55,65,70,73
Virginia,King and Queen,0,0,0,0,0,0,0,0
Virginia,King George,0,0,0,0,1,2,2,3
Virginia,King William,0,0,0,0,0,0,0,1
Virginia,Lancaster,0,0,0,0,0,1,1,1
Virginia,Lee,2,2,2,2,2,2,2,2
Virginia,Loudoun,15,18,20,28,43,54,61,61
Virginia,Louisa,2,2,3,4,5,6,6,8
Virginia,Lunenburg,0,0,0,0,0,0,0,0
Virginia,Madison,0,1,1,1,2,3,3,3
Virginia,Mathews,0,0,1,1,1,2,4,2
Virginia,Mecklenburg,1,2,3,3,4,4,4,4
Virginia,Middlesex,0,0,0,0,0,0,0,0
Virginia,Montgomery,0,0,0,0,1,1,1,1
Virginia,Nelson,0,1,1,1,1,2,2,2
Virginia,New Kent,0,0,0,0,0,1,1,1
Virginia,Northampton,0,0,0,0,1,1,1,1
Virginia,Northumberland,0,0,0,0,2,2,2,2
Virginia,Nottoway,0,0,1,1,1,1,1,1
Virginia,Orange,0,1,1,1,1,1,1,1
Virginia,Page,0,0,0,0,0,0,0,0
Virginia,Patrick,0,0,0,0,0,0,0,0
Virginia,Pittsylvania,0,0,0,1,1,1,1,1
Virginia,Powhatan,0,0,0,0,0,1,1,3
Virginia,Prince Edward,1,1,2,2,2,2,2,2
Virginia,Prince George,0,0,0,0,2,2,4,5
Virginia,Prince William,18,23,32,36,44,56,72,79
Virginia,Pulaski,0,0,0,0,0,0,0,0
Virginia,Rappahannock,0,0,0,0,0,0,0,0
Virginia,Richmond,0,0,0,0,0,0,0,0
Virginia,Roanoke,0,0,1,1,1,2,2,2
Virginia,Rockbridge,1,1,2,2,2,2,2,2
Virginia,Rockingham,2,3,3,3,4,4,4,5
Virginia,Russell,0,0,0,0,0,0,0,0
Virginia,Scott,0,0,0,0,0,0,0,0
Virginia,Shenandoah,0,0,3,3,3,3,4,6
Virginia,Smyth,0,0,0,0,0,0,0,1
Virginia,Southampton,0,0,0,0,1,1,1,1
Virginia,Spotsylvania,2,2,3,3,3,3,3,6
Virginia,Stafford,6,6,6,11,11,11,11,20
Virginia,Surry,0,0,0,0,0,0,0,0
Virginia,Sussex,0,0,0,0,0,0,0,0
Virginia,Tazewell,0,0,0,0,0,0,1,2
Virginia,Warren,0,0,0,1,2,2,2,2
Virginia,Washington,0,0,0,1,1,1,2,2
Virginia,Westmoreland,0,0,0,0,0,0,0,0
Virginia,Wise,0,0,0,0,0,0,0,0
Virginia,Wythe,0,0,0,0,0,0,1,1
Virginia,York,5,6,8,9,9,9,9,11
Virginia,Alexandria,6,8,9,14,18,20,25,26
Virginia,Bristol,0,0,0,0,1,1,1,1
Virginia,Buena Vista,0,0,0,0,0,0,0,0
Virginia,Charlottesville,4,5,6,9,11,12,12,13
Virginia,Chesapeake,0,1,3,4,5,7,17,18
Virginia,Colonial Heights,0,0,0,0,0,0,0,0
Virginia,Covington,0,0,0,0,0,0,0,0
Virginia,Danville,1,1,2,2,4,4,5,4
Virginia,Emporia,0,0,0,0,0,0,0,0
Virginia,Fairfax City,0,0,1,1,0,0,0,1
Virginia,Falls Church,0,0,0,0,0,0,0,0
Virginia,Franklin City,0,0,0,0,0,0,0,0
Virginia,Fredericksburg,0,0,1,1,1,1,1,1
Virginia,Galax,0,0,0,0,1,1,1,1
Virginia,Hampton,0,0,0,1,5,7,7,9
Virginia,Harrisonburg,1,1,2,3,5,5,5,6
Virginia,Hopewell,0,0,0,0,0,1,1,3
Virginia,Lexington,0,0,0,0,0,0,0,0
Virginia,Lynchburg,0,0,2,2,2,2,3,4
Virginia,Manassas,0,0,0,0,0,4,5,7
Virginia,Manassas Park,0,0,0,0,0,0,1,1
Virginia,Martinsville,0,0,0,0,0,0,0,0
Virginia,Newport News,2,3,4,8,12,13,17,18
Virginia,Norfolk,5,8,8,9,8,10,14,17
Virginia,Norton,0,0,0,0,0,0,0,0
Virginia,Petersburg,0,0,0,0,0,0,0,2
Virginia,Poquoson,0,0,0,1,1,2,2,2
Virginia,Portsmouth,0,0,0,0,3,4,4,4
Virginia,Radford,0,0,1,1,1,1,1,1
Virginia,Richmond City,8,11,13,14,17,20,25,25
Virginia,Roanoke City,0,0,0,0,1,0,2,6
Virginia,Salem,0,0,0,0,0,0,0,0
Virginia,Staunton,0,0,0,0,0,0,0,0
Virginia,Suffolk,1,1,1,1,1,1,1,3
Virginia,Virginia Beach,17,17,23,26,29,35,49,52
Virginia,Waynesboro,0,0,0,0,0,0,0,0
Virginia,Williamsburg,5,5,5,5,5,6,7,7
Virginia,Winchester,0,0,0,0,0,0,1,3
Virginia,Out of VA,0,0,0,0,0,0,0,0
Virginia,Unassigned,0,0,0,0,0,0,0,0
